Goal,SeriesCode,GeoAreaCode,Units,TimePeriod,Value
9,EN_ATM_CO2GDP,2,KG_PER_CON_USD,2000,0.232
9,EN_ATM_CO2GDP,8,KG_PER_CON_USD,2000,0.17
9,EN_ATM_CO2GDP,12,KG_PER_CON_USD,2000,0.227
9,EN_ATM_CO2GDP,19,KG_PER_CON_USD,2000,0.345
9,EN_ATM_CO2GDP,24,KG_PER_CON_USD,2000,0.06
9,EN_ATM_CO2GDP,32,KG_PER_CON_USD,2000,0.186
9,EN_ATM_CO2GDP,51,KG_PER_CON_USD,2000,0.275
9,EN_ATM_CO2GDP,142,KG_PER_CON_USD,2000,0.381
9,EN_ATM_CO2GDP,36,KG_PER_CON_USD,2000,0.456
9,EN_ATM_CO2GDP,53,KG_PER_CON_USD,2000,0.422
9,EN_ATM_CO2GDP,40,KG_PER_CON_USD,2000,0.166
9,EN_ATM_CO2GDP,31,KG_PER_CON_USD,2000,0.835
9,EN_ATM_CO2GDP,48,KG_PER_CON_USD,2000,0.482
9,EN_ATM_CO2GDP,50,KG_PER_CON_USD,2000,0.085
9,EN_ATM_CO2GDP,112,KG_PER_CON_USD,2000,0.648
9,EN_ATM_CO2GDP,56,KG_PER_CON_USD,2000,0.258
9,EN_ATM_CO2GDP,204,KG_PER_CON_USD,2000,0.084
9,EN_ATM_CO2GDP,68,KG_PER_CON_USD,2000,0.154
9,EN_ATM_CO2GDP,70,KG_PER_CON_USD,2000,0.514
9,EN_ATM_CO2GDP,72,KG_PER_CON_USD,2000,0.215
9,EN_ATM_CO2GDP,76,KG_PER_CON_USD,2000,0.145
9,EN_ATM_CO2GDP,96,KG_PER_CON_USD,2000,0.192
9,EN_ATM_CO2GDP,100,KG_PER_CON_USD,2000,0.506
9,EN_ATM_CO2GDP,116,KG_PER_CON_USD,2000,0.109
9,EN_ATM_CO2GDP,120,KG_PER_CON_USD,2000,0.065
9,EN_ATM_CO2GDP,124,KG_PER_CON_USD,2000,0.441
9,EN_ATM_CO2GDP,29,KG_PER_CON_USD,2000,0.234
9,EN_ATM_CO2GDP,135,KG_PER_CON_USD,2000,0.938
9,EN_ATM_CO2GDP,13,KG_PER_CON_USD,2000,0.194
9,EN_ATM_CO2GDP,62,KG_PER_CON_USD,2000,0.355
9,EN_ATM_CO2GDP,143,KG_PER_CON_USD,2000,1.036
9,EN_ATM_CO2GDP,152,KG_PER_CON_USD,2000,0.203
9,EN_ATM_CO2GDP,156,KG_PER_CON_USD,2000,0.711
9,EN_ATM_CO2GDP,344,KG_PER_CON_USD,2000,0.168
9,EN_ATM_CO2GDP,170,KG_PER_CON_USD,2000,0.151
9,EN_ATM_CO2GDP,178,KG_PER_CON_USD,2000,0.036
9,EN_ATM_CO2GDP,188,KG_PER_CON_USD,2000,0.09
9,EN_ATM_CO2GDP,384,KG_PER_CON_USD,2000,0.094
9,EN_ATM_CO2GDP,191,KG_PER_CON_USD,2000,0.206
9,EN_ATM_CO2GDP,192,KG_PER_CON_USD,2000,0.177
9,EN_ATM_CO2GDP,531,KG_PER_CON_USD,2000,1.415
9,EN_ATM_CO2GDP,196,KG_PER_CON_USD,2000,0.278
9,EN_ATM_CO2GDP,203,KG_PER_CON_USD,2000,0.473
9,EN_ATM_CO2GDP,408,KG_PER_CON_USD,2000,
9,EN_ATM_CO2GDP,180,KG_PER_CON_USD,2000,0.024
9,EN_ATM_CO2GDP,208,KG_PER_CON_USD,2000,0.194
9,EN_ATM_CO2GDP,514,KG_PER_CON_USD,2000,0.328
9,EN_ATM_CO2GDP,515,KG_PER_CON_USD,2000,0.342
9,EN_ATM_CO2GDP,214,KG_PER_CON_USD,2000,0.223
9,EN_ATM_CO2GDP,14,KG_PER_CON_USD,2000,0.119
9,EN_ATM_CO2GDP,753,KG_PER_CON_USD,2000,0.413
9,EN_ATM_CO2GDP,30,KG_PER_CON_USD,2000,0.47
9,EN_ATM_CO2GDP,518,KG_PER_CON_USD,2000,0.641
9,EN_ATM_CO2GDP,151,KG_PER_CON_USD,2000,0.599
9,EN_ATM_CO2GDP,218,KG_PER_CON_USD,2000,0.177
9,EN_ATM_CO2GDP,818,KG_PER_CON_USD,2000,0.188
9,EN_ATM_CO2GDP,222,KG_PER_CON_USD,2000,0.134
9,EN_ATM_CO2GDP,226,KG_PER_CON_USD,2000,0.089
9,EN_ATM_CO2GDP,232,KG_PER_CON_USD,2000,
9,EN_ATM_CO2GDP,233,KG_PER_CON_USD,2000,0.586
9,EN_ATM_CO2GDP,231,KG_PER_CON_USD,2000,0.066
9,EN_ATM_CO2GDP,150,KG_PER_CON_USD,2000,0.281
9,EN_ATM_CO2GDP,513,KG_PER_CON_USD,2000,0.335
9,EN_ATM_CO2GDP,246,KG_PER_CON_USD,2000,0.264
9,EN_ATM_CO2GDP,250,KG_PER_CON_USD,2000,0.151
9,EN_ATM_CO2GDP,266,KG_PER_CON_USD,2000,0.072
9,EN_ATM_CO2GDP,268,KG_PER_CON_USD,2000,0.231
9,EN_ATM_CO2GDP,276,KG_PER_CON_USD,2000,0.231
9,EN_ATM_CO2GDP,288,KG_PER_CON_USD,2000,0.094
9,EN_ATM_CO2GDP,292,KG_PER_CON_USD,2000,
9,EN_ATM_CO2GDP,300,KG_PER_CON_USD,2000,0.279
9,EN_ATM_CO2GDP,320,KG_PER_CON_USD,2000,0.114
9,EN_ATM_CO2GDP,328,KG_PER_CON_USD,2000,0.286
9,EN_ATM_CO2GDP,332,KG_PER_CON_USD,2000,0.065
9,EN_ATM_CO2GDP,340,KG_PER_CON_USD,2000,0.166
